ID,Name,Is_free,Is_PVP,Genre_Acción,Genre_Aventura,Genre_Carreras,Genre_Casual,Genre_Deportes,Genre_Estrategia,Genre_Indie,Genre_Multijugador masivo,Genre_Rol,Genre_Simuladores,Mixed,Multijugador,Un jugador,Gano_GOTY
537800,Bomber Crew,False,False,0,0,0,0,0,1,0,0,0,1,False,False,True,False
544750,SOULCALIBUR VI,False,True,1,0,0,0,0,0,0,0,0,0,False,False,True,False
546560,Half-Life: Alyx,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
548430,Deep Rock Galactic,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
548570,RAGE 2,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
552500,Warhammer: Vermintide 2,False,False,1,0,0,0,0,0,1,0,1,0,True,False,False,False
552620,ATOM RPG: Post-apocalyptic indie game,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,False
554620,Life is Strange: Before the Storm,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
555220,Detention,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
557340,My Friend Pedro,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
557600,Gorogoa,False,False,0,1,0,1,0,0,1,0,0,0,False,False,True,False
567640,Danganronpa V3: Killing Harmony,False,False,0,1,0,0,0,0,0,0,0,0,False,False,True,False
570940,DARK SOULS™: REMASTERED,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
573100,Battlefleet Gothic: Armada 2,False,True,0,0,0,0,0,1,0,0,0,0,True,False,False,False
578650,The Outer Worlds,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,False
581320,Insurgency: Sandstorm,False,True,1,0,0,0,0,0,0,0,0,0,False,True,False,False
582010,Monster Hunter: World,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
582660,Black Desert,False,True,1,1,0,0,0,1,0,1,1,0,False,True,False,False
583950,Artifact,True,True,0,0,0,0,0,1,0,0,0,0,False,False,True,False
584400,Sonic Mania,False,True,1,1,0,1,0,0,0,0,0,0,True,False,False,False
588650,Dead Cells,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
589780,The Red Strings Club,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
594570,Total War: WARHAMMER II,False,True,1,0,0,0,0,1,0,0,0,0,True,False,False,False
594650,Hunt: Showdown 1896,False,True,1,0,0,0,0,0,0,0,0,0,False,True,False,False
597170,Clone Drone in the Danger Zone,False,True,1,0,0,0,0,0,1,0,0,0,True,False,False,False
597220,West of Loathing,False,False,0,1,0,0,0,0,1,0,1,0,False,False,True,False
599140,Graveyard Keeper,False,False,0,1,0,0,0,0,1,0,1,1,False,False,True,False
601150,Devil May Cry 5,False,False,1,0,0,0,0,0,0,0,0,0,True,False,False,False
601430,The Evil Within 2,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
602960,Barotrauma,False,True,1,0,0,0,0,1,1,0,0,1,True,False,False,False
606280,Darksiders III,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
606880,GreedFall,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,False
607080,Psychonauts 2,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
609320,FAR: Lone Sails,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
610370,Desperados III,False,False,0,0,0,0,0,1,0,0,0,0,False,False,True,False
612880,Wolfenstein II: The New Colossus,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
613100,House Flipper,False,False,0,0,0,0,0,0,1,0,0,1,False,False,True,False
614570,Dishonored®: Death of the Outsider™,False,False,1,0,0,0,0,0,0,0,0,0,False,False,True,False
617290,Remnant: From the Ashes,False,False,1,1,0,0,0,0,0,0,1,0,True,False,False,False
620980,Beat Saber,False,True,0,0,0,0,0,0,1,0,0,0,False,False,True,False
629760,MORDHAU,False,True,1,0,0,0,0,0,1,0,0,0,False,True,False,False
629820,Maneater,False,False,1,1,0,0,0,0,1,0,1,0,False,False,True,False
632360,Risk of Rain 2,False,True,1,0,0,0,0,0,1,0,0,0,True,False,False,False
632470,Disco Elysium - The Final Cut,False,False,0,0,0,0,0,0,0,0,1,0,False,False,True,False
637090,BATTLETECH,False,True,1,1,0,0,0,1,0,0,0,0,False,False,True,False
640820,Pathfinder: Kingmaker — Enhanced Plus Edition,False,False,0,1,0,0,0,0,0,0,1,0,False,False,True,False
641320,Cooking Simulator,False,False,0,0,0,1,0,0,0,0,0,1,False,False,True,False
641990,The Escapists 2,False,True,0,0,0,0,0,1,1,0,0,1,True,False,False,False
644930,They Are Billions,False,False,0,0,0,0,0,1,0,0,0,0,False,False,True,False
646570,Slay the Spire,False,False,0,0,0,0,0,1,1,0,0,0,False,False,True,False
648350,Jurassic World Evolution,False,False,0,0,0,0,0,1,0,0,0,1,False,False,True,False
